Distribution;  Estimator;  Entropy;  Mean_estimate;  SD_estimate;  Mean_estimate_padded;  SD_estimate_padded
Uniform(0.0,10.0);  Vasicek;  2.3025;  2.2997;  4.0E-4;  2.3374;  0.0033
Uniform(0.0,10.0);  Empirical;  2.3025;  2.2996;  2.0E-4;  2.3504;  0.0031
Gaussian(0.0, 5.0);  Vasicek;  3.0283;  3.003;  0.0042;  3.011;  0.0126
Gaussian(0.0, 5.0);  Empirical;  3.0283;  3.0256;  0.004;  3.0332;  0.0125
Exponential(10.0);  Vasicek;  -1.3025;  -1.3182;  0.0057;  -1.2413;  0.0171
Exponential(10.0);  Empirical;  -1.3025;  -1.3052;  0.0056;  -1.2203;  0.0171
Gamma(2.0,2.0);  Vasicek;  2.2703;  2.2489;  0.0046;  2.2667;  0.0146
Gamma(2.0,2.0);  Empirical;  2.2703;  2.2681;  0.0046;  2.2855;  0.0146
Gamma(7.0,1.0);  Vasicek;  2.3425;  2.3182;  0.0042;  2.3232;  0.0126
Gamma(7.0,1.0);  Empirical;  2.3425;  2.3398;  0.0042;  2.3431;  0.0134
Beta(0.5,0.5);  Vasicek;  -0.2415;  -0.2153;  0.0049;  0.0482;  0.0057
Beta(0.5,0.5);  Empirical;  -0.2415;  -0.2144;  0.0043;  0.0608;  0.0056
Beta(1.0,3.0);  Vasicek;  -0.4319;  -0.4437;  0.0038;  -0.4013;  0.0115
Beta(1.0,3.0);  Empirical;  -0.4319;  -0.4348;  0.0037;  -0.3836;  0.0119
Beta(5.0,1.0);  Vasicek;  -0.8094;  -0.8227;  0.0045;  -0.7695;  0.014
Beta(5.0,1.0);  Empirical;  -0.8094;  -0.8123;  0.0045;  -0.7514;  0.0136
Beta(2.0,5.0);  Vasicek;  -0.4845;  -0.5034;  0.0033;  -0.4949;  0.0109
Beta(2.0,5.0);  Empirical;  -0.4845;  -0.4872;  0.0034;  -0.478;  0.011
